Country list with regional grouping and classification (developing and industrialised). ,,,,,
"In the manuscript, the discussion is often based on main economies which allows the EU28 to be considered as a single entity.",,,,,
"The EU28 comprises: Austria, Italy, Belgium, Latvia, Bulgaria, Lithuania, Croatia, Luxembourg, Cyprus,  Malta, Czechia, The Netherlands, Denmark, Poland, Estonia, Portugal,Finland, Romania, France, Slovakia, Germany,Slovenia,Greece, Spain,Hungary,Sweden, Ireland and United Kingdom.",,,,,
,,,,,
Country ISO code,Country name,Regional grouping,Country class,,
CMR,Cameroon,Western_Africa,Developing,,
COD,Congo_the Democratic Republic of the,Western_Africa,Developing,,
COG,Congo,Western_Africa,Developing,,
COK,Cook Islands,Oceania,Developing,,
COL,Colombia,Rest South America,Developing,,
COM,Comoros,Eastern_Africa,Developing,,
CPV,Cape Verde,Western_Africa,Developing,,
CRI,Costa Rica,Rest Central America,Developing,,
CUB,Cuba,Rest Central America,Developing,,
CYM,Cayman Islands,Rest Central America,Developing,,
CYP,Cyprus,Central Europe,Industrialised,,
CZE,Czech Republic,Central Europe,Industrialised,,
DEU,Germany,OECD_Europe,Industrialised,,
DJI,Djibouti,Eastern_Africa,Developing,,
DMA,Dominica,Rest Central America,Developing,,
DNK,Denmark,OECD_Europe,Industrialised,,
DOM,Dominican Republic,Rest Central America,Developing,,
DZA,Algeria,Northern_Africa,Developing,,
ECU,Ecuador,Rest South America,Developing,,
EGY,Egypt,Northern_Africa,Developing,,
ERI,Eritrea,Eastern_Africa,Developing,,
ESH,Western Sahara,Northern_Africa,Developing,,
ESP,Spain,OECD_Europe,Industrialised,,
EST,Estonia,Central Europe,Industrialised,,
ETH,Ethiopia,Eastern_Africa,Developing,,
FIN,Finland,OECD_Europe,Industrialised,,
FJI,Fiji,Oceania,Developing,,
FLK,Falkland Islands (Malvinas),Rest South America,Developing,,
FRA,France,OECD_Europe,Industrialised,,
FRO,Faroe Islands,OECD_Europe,Industrialised,,
FSM,"Micronesia, Federated States of",Oceania,Developing,,
GAB,Gabon,Western_Africa,Developing,,
GBR,United Kingdom,OECD_Europe,Industrialised,,
GEO,Georgia,Russia +,Industrialised,,
GHA,Ghana,Western_Africa,Developing,,
GIB,Gibraltar,OECD_Europe,Industrialised,,
GIN,Guinea,Western_Africa,Developing,,
GLP,Guadeloupe,Rest Central America,Developing,,
GMB,Gambia,Western_Africa,Developing,,
GNB,Guinea-Bissau,Western_Africa,Developing,,
GNQ,Equatorial Guinea,Western_Africa,Developing,,
GRC,Greece,OECD_Europe,Industrialised,,
GRD,Grenada,Rest Central America,Developing,,
GRL,Greenland,OECD_Europe,Industrialised,,
GTM,Guatemala,Rest Central America,Developing,,
GUF,French Guiana,Rest South America,Developing,,
GUM,Guam,Oceania,Developing,,
GUY,Guyana,Rest South America,Developing,,
HKG,Hong Kong,China +,Developing,,
HND,Honduras,Rest Central America,Developing,,
HRV,Croatia,Central Europe,Industrialised,,
HTI,Haiti,Rest Central America,Developing,,
HUN,Hungary,Central Europe,Industrialised,,
IDN,Indonesia,Indonesia +,Developing,,
IND,India,India +,Developing,,
IRL,Ireland,OECD_Europe,Industrialised,,
IRN,"Iran, Islamic Republic of",Middle_East,Developing,,
IRQ,Iraq,Middle_East,Developing,,
ISL,Iceland,OECD_Europe,Industrialised,,
ISR,Israel,Middle_East,Developing,,
ITA,Italy,OECD_Europe,Industrialised,,
JAM,Jamaica,Rest Central America,Developing,,
JOR,Jordan,Middle_East,Developing,,
JPN,Japan,Japan,Industrialised,,
KAZ,Kazakhstan,Asia-Stan,Industrialised,,
KEN,Kenya,Eastern_Africa,Developing,,
KGZ,Kyrgyzstan,Asia-Stan,Industrialised,,
KHM,Cambodia,Southeastern Asia,Developing,,
KIR,Kiribati,Oceania,Developing,,
KNA,Saint Kitts and Nevis,Rest Central America,Developing,,
KOR,"Korea, Republic of",Korea,Industrialised,,
KWT,Kuwait,Middle_East,Developing,,
LAO,Lao People's Democratic Republic,Southeastern Asia,Developing,,
LBN,Lebanon,Middle_East,Developing,,
LBR,Liberia,Western_Africa,Developing,,
LBY,Libyan Arab Jamahiriya,Northern_Africa,Developing,,
LCA,Saint Lucia,Rest Central America,Developing,,
LKA,Sri Lanka,India +,Developing,,
LSO,Lesotho,Southern_Africa,Developing,,
LTU,Lithuania,Central Europe,Industrialised,,
LUX,Luxembourg,OECD_Europe,Industrialised,,
LVA,Latvia,Central Europe,Industrialised,,
MAC,Macao,China +,Developing,,
MAR,Morocco,Northern_Africa,Developing,,
MDA,"Moldova, Republic of",Ukraine +,Industrialised,,
MDG,Madagascar,Eastern_Africa,Developing,,
MDV,Maldives,India +,Developing,,
MEX,Mexico,Mexico,Industrialised,,
MHL,Marshall Islands,Oceania,Developing,,
MKD,"Macedonia, the former Yugoslav Republic of",Central Europe,Industrialised,,
MLI,Mali,Western_Africa,Developing,,
MLT,Malta,Central Europe,Industrialised,,
MMR,Myanmar,Southeastern Asia,Developing,,
MNG,Mongolia,China +,Developing,,
MNP,Northern Mariana Islands,Oceania,Developing,,
MOZ,Mozambique,Southern_Africa,Developing,,
MRT,Mauritania,Western_Africa,Developing,,
MSR,Montserrat,Rest Central America,Developing,,
MTQ,Martinique,Rest Central America,Developing,,
MUS,Mauritius,Eastern_Africa,Developing,,
MWI,Malawi,Southern_Africa,Developing,,
MYS,Malaysia,Southeastern Asia,Developing,,
MYT,Mayotte,Eastern_Africa,Developing,,
NAM,Namibia,Southern_Africa,Developing,,
NCL,New Caledonia,Oceania,Developing,,
NER,Niger,Western_Africa,Developing,,
NFK,Norfolk Island,Oceania,Developing,,
NGA,Nigeria,Western_Africa,Developing,,
NIC,Nicaragua,Rest Central America,Developing,,
NIU,Niue,Oceania,Developing,,
NLD,Netherlands,OECD_Europe,Industrialised,,
NOR,Norway,OECD_Europe,Industrialised,,
NPL,Nepal,India +,Developing,,
NRU,Nauru,Oceania,Developing,,
NZL,New Zealand,Oceania,Industrialised,,
OMN,Oman,Middle_East,Developing,,
PAK,Pakistan,India +,Developing,,
PAN,Panama,Rest Central America,Developing,,
PER,Peru,Rest South America,Developing,,
PHL,Philippines,Southeastern Asia,Developing,,
PLW,Palau,Oceania,Developing,,
PNG,Papua New Guinea,Indonesia +,Developing,,
POL,Poland,Central Europe,Industrialised,,
PRI,Puerto Rico,Rest Central America,Developing,,
PRK,"Korea, Democratic People's Republic of",Korea,Developing,,
PRT,Portugal,OECD_Europe,Industrialised,,
PRY,Paraguay,Rest South America,Developing,,
PYF,French Polynesia,Oceania,Developing,,
QAT,Qatar,Middle_East,Developing,,
REU,Reunion,Eastern_Africa,Developing,,
ROU,Romania,Central Europe,Industrialised,,
RUS,Russian Federation,Russia +,Industrialised,,
RWA,Rwanda,Eastern_Africa,Developing,,
SAU,Saudi Arabia,Middle_East,Developing,,
SCG,Serbia and Montenegro,Central Europe,Industrialised,,
SDN,Sudan,Eastern_Africa,Developing,,
SEA,Int. Shipping,Int. Shipping,0,,
SEN,Senegal,Western_Africa,Developing,,
SGP,Singapore,Southeastern Asia,Developing,,
SHN,Saint Helena,Western_Africa,Developing,,
SLB,Solomon Islands,Oceania,Developing,,
SLE,Sierra Leone,Western_Africa,Developing,,
SLV,El Salvador,Rest Central America,Developing,,
SOM,Somalia,Eastern_Africa,Developing,,
SPM,Saint Pierre and Miquelon,USA,Industrialised,,
STP,Sao Tome and Principe,Western_Africa,Developing,,
SUR,Suriname,Rest South America,Developing,,
SVK,Slovakia,Central Europe,Industrialised,,
SVN,Slovenia,Central Europe,Industrialised,,
SWE,Sweden,OECD_Europe,Industrialised,,
SWZ,Swaziland,Southern_Africa,Developing,,
SYC,Seychelles,Eastern_Africa,Developing,,
SYR,Syrian Arab Republic,Middle_East,Developing,,
TCA,Turks and Caicos Islands,Rest Central America,Developing,,
TCD,Chad,Western_Africa,Developing,,
TGO,Togo,Western_Africa,Developing,,
THA,Thailand,Southeastern Asia,Developing,,
TJK,Tajikistan,Asia-Stan,Industrialised,,
TKL,Tokelau,Oceania,Developing,,
TKM,Turkmenistan,Asia-Stan,Industrialised,,
TLS,Timor-Leste,Southeastern Asia,Developing,,
TON,Tonga,Oceania,Developing,,
TTO,Trinidad and Tobago,Rest Central America,Developing,,
TUN,Tunisia,Northern_Africa,Developing,,
TUR,Turkey,Turkey,Industrialised,,
TUV,Tuvalu,Oceania,Developing,,
TWN,Taiwan_Province of China,China +,Developing,,
TZA,Tanzania_United Republic of,Southern_Africa,Developing,,
UGA,Uganda,Eastern_Africa,Developing,,
UKR,Ukraine,Ukraine +,Industrialised,,
URY,Uruguay,Rest South America,Developing,,
USA,United States,USA,Industrialised,,
UZB,Uzbekistan,Asia-Stan,Industrialised,,
VCT,Saint Vincent and the Grenadines,Rest Central America,Developing,,
VEN,Venezuela,Rest South America,Developing,,
VGB,Virgin Islands_British,Rest Central America,Developing,,
VIR,Virgin Islands_USA,Rest Central America,Developing,,
VNM,Viet Nam,Southeastern Asia,Developing,,
VUT,Vanuatu,Oceania,Developing,,
WLF,Wallis and Futuna,Oceania,Developing,,
WSM,Samoa,Oceania,Developing,,
YEM,Yemen,Middle_East,Developing,,
ZAF,South Africa,Southern_Africa,Developing,,
ZMB,Zambia,Southern_Africa,Developing,,
ZWE,Zimbabwe,Southern_Africa,Developing,,
